id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
27259.0,Caroline Weir,Caroline Weir,female,1995-06-20T00:00:00+00:00,69.0,173.0,Real Madrid CF,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,11.0,Midfielder,,5.0,23.0,8.0,3.0,2.0,0.0,8.0,73.0,14.0,14.0,11.0,58.0,6.0,913.0,0.0,0.0,0.0,32.0,0.0,9.0,33.0,30.0,557.0,279.0,783.0,4.0,6.0,306.0,934.0,15.0,115.0,13.0,12.0,109.0,1.0,Forward,92.83999999999997
9676.0,Asisat Oshoala,Asisat Oshoala,female,1994-10-09T00:00:00+00:00,,169.0,FC Barcelona,FCB,https://assets.laliga.com/assets/2019/06/07/medium/fc-barcelona-femenino.png,20.0,Forward,,6.0,23.0,2.0,0.0,0.0,0.0,5.0,27.0,19.0,2.0,2.0,15.0,28.0,191.0,0.0,0.0,0.0,44.0,0.0,7.0,9.0,3.0,113.0,43.0,146.0,3.0,10.0,130.0,205.0,10.0,153.0,9.0,3.0,53.0,1.0,Midfielder,80.55000000000001
70.0,Karim Benzema,Benzema,male,1987-12-19T00:00:00+00:00,81.0,185.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,9.0,Forward,https://assets.laliga.com/squad/2022/t186/p19927/512x556/p19927_t186_2022_1_001_000.png,11.0,18.0,0.0,3.0,0.0,0.0,5.0,36.0,14.0,12.0,1.0,33.0,18.0,718.0,0.0,0.0,0.0,36.0,0.0,0.0,13.0,10.0,519.0,134.0,643.0,5.0,9.0,167.0,753.0,7.0,138.0,17.0,3.0,97.0,1.0,Forward,51.03
12013.0,Rodrygo Silva de Goes,Rodrygo,male,2001-01-09T00:00:00+00:00,64.0,174.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,21.0,Forward,https://assets.laliga.com/squad/2022/t186/p440077/512x556/p440077_t186_2022_1_001_000.png,11.0,25.0,7.0,6.0,0.0,0.0,4.0,110.0,5.0,16.0,6.0,30.0,6.0,687.0,0.0,0.0,0.0,23.0,0.0,3.0,52.0,15.0,520.0,123.0,624.0,2.0,15.0,212.0,714.0,13.0,167.0,39.0,2.0,73.0,2.0,Goalkeeper,50.139999999999986
2355.0,Robert Lewandowski,Lewandowski,male,1988-08-21T00:00:00+00:00,81.0,185.0,FC Barcelona,BAR,https://assets.laliga.com/assets/2019/06/07/medium/barcelona.png,9.0,Forward,https://assets.laliga.com/squad/2022/t178/p56764/512x556/p56764_t178_2022_1_001_000.png,40.0,24.0,3.0,2.0,0.0,0.0,11.0,107.0,17.0,9.0,1.0,19.0,14.0,501.0,0.0,1.0,0.0,43.0,0.0,5.0,20.0,16.0,310.0,96.0,385.0,13.0,33.0,245.0,510.0,12.0,150.0,17.0,7.0,102.0,1.0,Defender,41.60000000000002
7450.0,Clàudia Pina,Clàudia Pina,female,2001-08-12T00:00:00+00:00,,165.0,FC Barcelona,FCB,https://assets.laliga.com/assets/2019/06/07/medium/fc-barcelona-femenino.png,6.0,Forward,,6.0,20.0,7.0,0.0,0.0,0.0,5.0,73.0,10.0,2.0,6.0,43.0,5.0,673.0,0.0,0.0,0.0,21.0,0.0,6.0,18.0,19.0,451.0,127.0,536.0,4.0,13.0,229.0,688.0,26.0,76.0,11.0,15.0,118.0,0.0,Defender,33.379999999999995
12017.0,Caroline Hansen,Caroline Hansen,female,1995-02-18T00:00:00+00:00,,174.0,FC Barcelona,FCB,https://assets.laliga.com/assets/2019/06/07/medium/fc-barcelona-femenino.png,10.0,Forward,,0.0,10.0,2.0,0.0,0.0,0.0,0.0,39.0,7.0,1.0,1.0,25.0,0.0,220.0,0.0,0.0,0.0,10.0,0.0,6.0,25.0,4.0,153.0,41.0,170.0,0.0,10.0,136.0,224.0,9.0,59.0,14.0,2.0,48.0,3.0,Defender,33.24000000000001
3623.0,Alba Redondo,Alba Redondo,female,1996-08-27T00:00:00+00:00,63.0,169.0,Levante UD,LUD,https://assets.laliga.com/assets/2019/06/07/medium/levante-femenino.png,10.0,Forward,https://assets.laliga.com/squad/2022/t13319/p191675/512x556/p191675_t13319_2022_1_001_000.png,15.0,24.0,5.0,0.0,0.0,0.0,4.0,93.0,22.0,25.0,3.0,32.0,19.0,567.0,0.0,0.0,0.0,58.0,0.0,2.0,33.0,18.0,289.0,123.0,391.0,19.0,6.0,355.0,589.0,24.0,200.0,31.0,21.0,159.0,0.0,Forward,28.889999999999986
626.0,Cristhian Stuani,Stuani,male,1986-10-12T00:00:00+00:00,76.0,186.0,Girona FC,GIR,https://assets.laliga.com/assets/2022/06/22/medium/8f43addbb29e4a72f5e90b6edfe4728f.png,7.0,Forward,https://assets.laliga.com/squad/2022/t2893/p49464/512x556/p49464_t2893_2022_1_001_000.png,9.0,23.0,0.0,0.0,0.0,0.0,0.0,33.0,7.0,10.0,1.0,7.0,5.0,104.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,3.0,51.0,37.0,85.0,4.0,26.0,49.0,115.0,6.0,40.0,2.0,2.0,25.0,7.0,Forward,25.150000000000006
2382.0,Esther González,Esther González,female,1992-12-08T00:00:00+00:00,55.0,163.0,Real Madrid CF,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,10.0,Forward,,16.0,23.0,4.0,0.0,0.0,0.0,0.0,61.0,16.0,11.0,2.0,12.0,13.0,360.0,0.0,0.0,0.0,36.0,0.0,2.0,13.0,10.0,189.0,105.0,282.0,11.0,14.0,207.0,387.0,20.0,105.0,13.0,10.0,85.0,2.0,Forward,21.370000000000005
6479.0,Alexander Isak,Isak,male,1999-09-21T00:00:00+00:00,70.0,190.0,Newcastle,NEW,https://assets.laliga.com/assets/2021/03/11/medium/b8127f91e409ae9ce07f12d48432b7c3.png,14.0,Forward,,17.0,13.0,0.0,0.0,1.0,0.0,0.0,47.0,8.0,8.0,2.0,11.0,4.0,152.0,0.0,0.0,0.0,18.0,0.0,1.0,11.0,3.0,104.0,17.0,117.0,7.0,11.0,100.0,161.0,10.0,59.0,17.0,1.0,40.0,2.0,Defender,21.11
