id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
32333.0,Laura Coronado,Laura Coronado,female,2003-04-06T00:00:00+00:00,,,FC Levante Las Planas,LLP,https://assets.laliga.com/assets/2022/06/20/medium/14ce187ab605f5353d8e8b14ef712363.png,,Goalkeeper,https://assets.laliga.com/squad/2022/t18643/p478136/512x556/p478136_t18643_2022_1_001_000.png,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,11.0,6.0,3.0,0.0,20.0,34.0,0.0,0.0,0.0,20.0,0.0,0.0,Midfielder,20.5
14864.0,Jeremías Ledesma,Conan,male,1993-02-13T00:00:00+00:00,70.0,187.0,Cádiz CF,CAD,https://assets.laliga.com/assets/2019/06/07/medium/cadiz.png,1.0,Goalkeeper,https://assets.laliga.com/squad/2022/t1737/p167210/512x556/p167210_t1737_2022_1_001_000.png,7.0,25.0,0.0,0.0,0.0,27.0,9.0,15.0,0.0,37.0,2.0,1.0,0.0,284.0,1.0,0.0,105.0,0.0,0.0,0.0,3.0,190.0,156.0,170.0,136.0,32.0,1.0,414.0,732.0,2.0,0.0,0.0,402.0,4.0,1.0,Defender,12.84
18315.0,Benjamin Lecomte,Lecomte,male,1991-04-26T00:00:00+00:00,78.0,186.0,Montpellier,MTP,https://assets.laliga.com/assets/2021/03/11/medium/2293151c7bf399ff526fb2bc8e42329e.png,40.0,Goalkeeper,,4.0,11.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,10.0,0.0,1.0,0.0,176.0,2.0,0.0,38.0,0.0,0.0,0.0,1.0,77.0,34.0,164.0,121.0,8.0,0.0,122.0,319.0,0.0,0.0,0.0,118.0,3.0,0.0,Goalkeeper,12.5
8631.0,Chelsea Ashurst,Chelsea Ashurst,female,1990-04-22T00:00:00+00:00,,,Sporting Club Huelva,SPH,https://assets.laliga.com/assets/2019/06/07/medium/sporting-club.png,1.0,Goalkeeper,https://assets.laliga.com/squad/2022/t13327/p453117/512x556/p453117_t13327_2022_0_001_000.png,3.0,11.0,0.0,0.0,0.0,6.0,3.0,7.0,0.0,23.0,0.0,1.0,0.0,102.0,0.0,0.0,52.0,0.0,1.0,0.0,0.0,107.0,51.0,94.0,38.0,25.0,0.0,185.0,328.0,2.0,0.0,0.0,180.0,3.0,1.0,Midfielder,11.909090909090908
4509.0,José Antonio Caro,J.a Caro,male,1994-05-03T00:00:00+00:00,88.0,194.0,Burgos CF,BUR,https://assets.laliga.com/assets/2021/06/24/medium/8de24d38ab1472bbae1620d36582d7bd.png,13.0,Goalkeeper,https://assets.laliga.com/squad/2022/t951/p229320/512x556/p229320_t951_2022_1_001_000.png,10.0,34.0,0.0,0.0,0.0,50.0,17.0,20.0,0.0,22.0,0.0,1.0,0.0,502.0,1.0,0.0,102.0,0.0,1.0,0.0,0.0,329.0,248.0,361.0,280.0,43.0,1.0,524.0,1123.0,3.0,1.0,0.0,505.0,9.0,1.0,Goalkeeper,11.852941176470589
4719.0,Ian Cassaro Usart,Gianni,male,1992-04-10T00:00:00+00:00,,,Villarreal B,VIL,https://assets.laliga.com/assets/2019/06/07/medium/villarreal.png,25.0,Goalkeeper,https://assets.laliga.com/squad/2022/t4660/p235100/512x556/p235100_t4660_2022_1_001_000.png,1.0,6.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,92.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,28.0,11.0,102.0,85.0,5.0,1.0,43.0,155.0,0.0,0.0,0.0,39.0,3.0,0.0,Forward,11.5
513.0,Jordi Masip,Masip,male,1989-01-03T00:00:00+00:00,76.0,180.0,Real Valladolid CF,VLL,https://assets.laliga.com/assets/2022/06/20/medium/df95a3c6f33fab742cc50071d496a4c0.png,1.0,Goalkeeper,https://assets.laliga.com/squad/2022/t192/p86148/512x556/p86148_t192_2022_1_001_000.png,6.0,18.0,0.0,0.0,0.0,8.0,5.0,10.0,0.0,26.0,1.0,0.0,0.0,334.0,3.0,0.0,66.0,0.0,0.0,0.0,0.0,108.0,56.0,323.0,271.0,11.0,0.0,178.0,556.0,0.0,0.0,0.0,173.0,4.0,2.0,Goalkeeper,11.444444444444445
8587.0,Enith Salón,Enith Salón,female,2001-09-24T00:00:00+00:00,59.0,167.0,VCF Femenino,VCF,https://assets.laliga.com/assets/2019/06/07/medium/valencia-femenino.png,1.0,Goalkeeper,https://assets.laliga.com/squad/2022/t13329/p456921/512x556/p456921_t13329_2022_1_001_000.png,6.0,21.0,0.0,0.0,0.0,23.0,7.0,16.0,0.0,36.0,0.0,0.0,0.0,411.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,133.0,35.0,479.0,381.0,22.0,0.0,193.0,701.0,0.0,0.0,0.0,165.0,22.0,0.0,Goalkeeper,11.357142857142858
1669.0,David Soria,David Soria,male,1993-04-04T00:00:00+00:00,85.0,192.0,Getafe CF,GET,https://assets.laliga.com/assets/2019/06/07/medium/getafe.png,13.0,Goalkeeper,https://assets.laliga.com/squad/2022/t1450/p175204/512x556/p175204_t1450_2022_1_001_000.png,4.0,28.0,0.0,0.0,0.0,22.0,9.0,6.0,0.0,36.0,1.0,2.0,0.0,273.0,4.0,0.0,93.0,0.0,0.0,0.0,0.0,298.0,237.0,144.0,83.0,28.0,1.0,357.0,732.0,0.0,0.0,0.0,345.0,6.0,1.0,Defender,11.232142857142858
1100.0,Óscar Whalley,Oscar,male,1994-03-29T00:00:00+00:00,82.0,190.0,CD Lugo,LUG,https://assets.laliga.com/assets/2019/06/07/medium/lugo.png,13.0,Goalkeeper,https://assets.laliga.com/squad/2022/t5730/p171580/512x556/p171580_t5730_2022_1_001_000.png,5.0,35.0,0.0,0.0,0.0,39.0,11.0,8.0,0.0,44.0,0.0,1.0,0.0,588.0,2.0,0.0,120.0,1.0,0.0,0.0,0.0,350.0,286.0,371.0,307.0,16.0,0.0,462.0,1109.0,0.0,1.0,0.0,446.0,6.0,1.0,Goalkeeper,11.128571428571428
